business_unit_name,business_unit_slug,project_name,project_slug,initiative_title,initiative_description,priority,status,reporter_email,assignee_email,rise_score,tags
Contratos Core,contratos-core,Contratos,contratos,Enlaces cruzados (contrato ↔ reno/mod/baja),Navegación cruzada con contexto.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"frontend,ux,navigation"
Contratos Core,contratos-core,Contratos,contratos,Permisos por rol en acciones de contrato,RBAC por rol/jerarquía en acciones sensibles.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"rbac,security"
Contratos Core,contratos-core,Contratos,contratos,"Buscador avanzado (texto, filtros compuestos)","Búsqueda por CUPS, titular, dirección, etc.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,frontend,search"
Clientes,clientes,Clientes,clientes,Auto-creación de cliente desde alta,Crear registro cliente al registrar alta.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,automation"
Clientes,clientes,Clientes,clientes,"Ficha de cliente (datos, contratos, docs)",Vista 360 de cliente con contratos luz/gas.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,bff,360-view"
Clientes,clientes,Clientes,clientes,Deduplicación y merge de clientes,Reglas y herramienta para consolidar duplicados.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"bff,frontend,data-quality"
Clientes,clientes,Clientes,clientes,Buscador y segmentación básica,"Búsqueda por NIF, nombre, email, etc.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,frontend,search"
Clientes,clientes,Clientes,clientes,Documentos asociados a cliente,Gestión de documentos en la ficha del cliente.,low,backlog,pablo@sapira.ai,pablo@sapira.ai,65,"storage,documents"
Dashboard & To-Dos,dashboard-todos,Dashboard,dashboard,KPIs operativos y comerciales (definición y fuentes),Selección de métricas y fuentes back.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"bff,frontend,metrics"
Dashboard & To-Dos,dashboard-todos,Dashboard,dashboard,Dashboard (UI + queries),Construcción de vistas y tarjetas métricas.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,bff,charts"
Dashboard & To-Dos,dashboard-todos,To-Dos,todos,Motor de To-Dos (creación/estado/asignación),Alta de tareas automáticas y manuales.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"bff,frontend,workflow"
Dashboard & To-Dos,dashboard-todos,To-Dos,todos,Deep-links desde alertas a contrato/cliente,Acceso directo al contexto del caso.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,ux"
Dashboard & To-Dos,dashboard-todos,Dashboard,dashboard,Exportaciones (CSV/XLS),Descarga de datos con filtros aplicados.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"bff,export"
Billing & Commissions,billing-commissions,Facturación,facturacion,Listado de facturas y comisiones,Vistas de facturas y comisiones; sin cálculo.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff"
Billing & Commissions,billing-commissions,Facturación,facturacion,Detalle y descargas,Detalle de factura/settlement y descarga.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"frontend,storage"
Billing & Commissions,billing-commissions,Facturación,facturacion,Filtros y export,Búsquedas y exportaciones CSV/XLS.,low,backlog,pablo@sapira.ai,pablo@sapira.ai,65,"bff,export"
Billing & Commissions,billing-commissions,Facturación,facturacion,Dual luz/gas y permisos por rol,Segmentación de vistas por producto/rol.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"rbac,frontend"
Settings,settings,Settings,settings,Cuentas y perfiles,Gestión de usuarios de canal y subagentes.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff,users"
Settings,settings,Settings,settings,Roles y jerarquías (gestión visual),Asignación y herencia de permisos.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"frontend,rbac"
Settings,settings,Settings,settings,Auditoría y logs de actividad,Registro de acciones de usuario.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,observability,audit"
Settings,settings,Settings,settings,Branding básico (logos/colores),Ajustes de marca por canal.,low,backlog,pablo@sapira.ai,pablo@sapira.ai,60,"frontend,branding"
Seguimiento,seguimiento,Adopción,adopcion,Manuales y guías (agentes y backoffice),Guías paso a paso y FAQs.,medium,backlog,adolfo@sapira.ai,adolfo@sapira.ai,70,"documentation,training"
Seguimiento,seguimiento,Adopción,adopcion,Formación a agentes (sesiones y grabaciones),Formaciones por rol/canal y material grabado.,medium,backlog,adolfo@sapira.ai,adolfo@sapira.ai,72,"training,video"
Seguimiento,seguimiento,Post Go-Live,post-go-live,"Soporte post-go-live (SLA inicial, canal incidencias)","Canal de soporte, triage y mejoras continuas.",high,backlog,adolfo@sapira.ai,adolfo@sapira.ai,80,"support,helpdesk"









