business_unit_name,business_unit_slug,project_name,project_slug,initiative_title,initiative_description,priority,status,reporter_email,assignee_email,rise_score,tags
Sales,sales,Onboarding,onboarding,Rechazos y códigos estandarizados,Catalogo de rechazos y mapeo por distribuidora.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"bff,catalog"
Sales,sales,Onboarding,onboarding,Auto-relleno y reutilización de datos,Reutilizar datos de clientes/contratos previos.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"frontend,bff,ux"
Sales,sales,Onboarding,onboarding,"Gas: multi-CUPS, sector y escalones",Campos y validaciones específicas de gas.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"gas,validation,frontend"
Sales,sales,Onboarding,onboarding,To-dos integrados (rechazos/docs),Creación automática de tareas para seguimiento.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,frontend,todos"
Sales,sales,Contratos,contratos,Listado global con filtros y acciones rápidas,"Tabla con búsqueda, filtros (estado, producto, canal).",high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,nextjs,filters"
Sales,sales,Contratos,contratos,"Ficha de contrato (datos, docs, historial)",Vista detalle con enlaces a reno/mod/baja.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"react,bff,documents"
Sales,sales,Contratos,contratos,Historial y documentos en contrato,Timeline de eventos y gestión documental.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,storage,timeline"
Sales,sales,Renovaciones,renovaciones,Pipeline de renovaciones y vistas dedicadas,Listas de renovables/no renovables; acciones por lote.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"react,bff,pipeline"
Sales,sales,Renovaciones,renovaciones,Motivos simplificados y estados,"KO scoring, impago, política interna; sin scoring/tlf.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,business-logic"
Sales,sales,Renovaciones,renovaciones,Generación de renovación desde contrato,Acción directa en ficha.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"frontend,ux"
Sales,sales,Renovaciones,renovaciones,Paridad Gas,Mismos procesos y tiempos que luz.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"gas,parity,frontend"
Sales,sales,Modificaciones,modificaciones,Tipologías (técnicas/administrativas),Estructura de cambios con categorías.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff,catalog"
Sales,sales,Modificaciones,modificaciones,Validación y documentos,Subida/validación de docs y reglas de aprobación.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,documents,validation"
Sales,sales,Modificaciones,modificaciones,Estados y seguimiento,"Estados por tipo, auditoría y alertas.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"bff,observability,audit"
Sales,sales,Modificaciones,modificaciones,To-dos integrados,Creación automática de tareas según tipo/caso.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"bff,frontend,todos"
Sales,sales,Bajas,bajas,Causas y flujo de baja (cliente/distribuidora),"Registro de causa, evidencias y estado.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff,workflow"
Sales,sales,Bajas,bajas,Bajas por no renovación,Automatizar baja cuando reno no ejecutada.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"bff,automation"
Sales,sales,Bajas,bajas,Estados y visibilidad en ficha,"Estados, histórico y acciones.",low,backlog,pablo@sapira.ai,pablo@sapira.ai,65,"frontend,ui"
Sales,sales,Contratos,contratos,Enlaces cruzados (contrato ↔ reno/mod/baja),Navegación cruzada con contexto.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"frontend,ux,navigation"
Sales,sales,Contratos,contratos,Permisos por rol en acciones de contrato,RBAC por rol/jerarquía en acciones sensibles.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"rbac,security"
Sales,sales,Contratos,contratos,"Buscador avanzado (texto, filtros compuestos)","Búsqueda por CUPS, titular, dirección, etc.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,frontend,search"
Sales,sales,Clientes,clientes,Auto-creación de cliente desde alta,Crear registro cliente al registrar alta.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,automation"
Sales,sales,Clientes,clientes,"Ficha de cliente (datos, contratos, docs)",Vista 360 de cliente con contratos luz/gas.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,bff,360-view"
Sales,sales,Clientes,clientes,Deduplicación y merge de clientes,Reglas y herramienta para consolidar duplicados.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"bff,frontend,data-quality"
Sales,sales,Clientes,clientes,Buscador y segmentación básica,"Búsqueda por NIF, nombre, email, etc.",medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"bff,frontend,search"
Sales,sales,Clientes,clientes,Documentos asociados a cliente,Gestión de documentos en la ficha del cliente.,low,backlog,pablo@sapira.ai,pablo@sapira.ai,65,"storage,documents"
Sales,sales,Dashboard,dashboard,KPIs operativos y comerciales (definición y fuentes),Selección de métricas y fuentes back.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"bff,frontend,metrics"
Sales,sales,Dashboard,dashboard,Dashboard (UI + queries),Construcción de vistas y tarjetas métricas.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,80,"react,bff,charts"
Sales,sales,To-Dos,todos,Motor de To-Dos (creación/estado/asignación),Alta de tareas automáticas y manuales.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,85,"bff,frontend,workflow"
Sales,sales,To-Dos,todos,Deep-links desde alertas a contrato/cliente,Acceso directo al contexto del caso.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,ux"
Sales,sales,Dashboard,dashboard,Exportaciones (CSV/XLS),Descarga de datos con filtros aplicados.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"bff,export"
Sales,sales,Facturación,facturacion,Listado de facturas y comisiones,Vistas de facturas y comisiones; sin cálculo.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff"
Sales,sales,Facturación,facturacion,Detalle y descargas,Detalle de factura/settlement y descarga.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,68,"frontend,storage"
Sales,sales,Facturación,facturacion,Filtros y export,Búsquedas y exportaciones CSV/XLS.,low,backlog,pablo@sapira.ai,pablo@sapira.ai,65,"bff,export"
Sales,sales,Facturación,facturacion,Dual luz/gas y permisos por rol,Segmentación de vistas por producto/rol.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,72,"rbac,frontend"
Sales,sales,Settings,settings,Cuentas y perfiles,Gestión de usuarios de canal y subagentes.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,70,"frontend,bff,users"
Sales,sales,Settings,settings,Roles y jerarquías (gestión visual),Asignación y herencia de permisos.,high,backlog,pablo@sapira.ai,pablo@sapira.ai,82,"frontend,rbac"
Sales,sales,Settings,settings,Auditoría y logs de actividad,Registro de acciones de usuario.,medium,backlog,pablo@sapira.ai,pablo@sapira.ai,75,"bff,observability,audit"
Sales,sales,Settings,settings,Branding básico (logos/colores),Ajustes de marca por canal.,low,backlog,pablo@sapira.ai,pablo@sapira.ai,60,"frontend,branding"
Sales,sales,Adopción,adopcion,Manuales y guías (agentes y backoffice),Guías paso a paso y FAQs.,medium,backlog,adolfo@sapira.ai,adolfo@sapira.ai,70,"documentation,training"
Sales,sales,Adopción,adopcion,Formación a agentes (sesiones y grabaciones),Formaciones por rol/canal y material grabado.,medium,backlog,adolfo@sapira.ai,adolfo@sapira.ai,72,"training,video"
Sales,sales,Post Go-Live,post-go-live,"Soporte post-go-live (SLA inicial, canal incidencias)","Canal de soporte, triage y mejoras continuas.",high,backlog,adolfo@sapira.ai,adolfo@sapira.ai,80,"support,helpdesk"







